 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.48E+01  9.131E+03
   1  -3.  2.04E+01  4.959E+03  1.125  0.000  0.300  0.000  0.000 -1.000  39.130
   2  -2.  1.87E+01  3.488E+03  0.631  0.000  0.450  0.000  0.000 -1.000  49.091
   3  -3.  3.09E+01  2.375E+03  0.650  0.000  0.225  0.000  0.000 -1.000  59.124
   4  -4.  2.50E+01  1.937E+03  0.975  0.000  0.338  0.000  0.000 -1.000  53.710
   5  -1.  3.06E+01  1.417E+03  0.881  0.000  0.169  0.000  0.000 -1.000  48.099
   6  -2.  4.54E+01  5.535E+02  0.993  0.000  0.253  0.000  0.000 -1.000  47.653
   7  -3.  1.10E+02  1.781E+02  1.384  0.000  0.380  0.000  0.000 -1.000  36.795
   8  -4.  1.11E+02  1.720E+02  1.322  0.000  0.403  0.000  0.000 -1.000  37.811
   9  -5.  1.11E+02  1.720E+02  1.318  0.000  0.397  0.000  0.000 -1.000  37.941
  10  -0.  1.11E+02  1.720E+02  1.318  0.000  0.397  0.000  0.000 -1.000  37.942
  11   1.  1.11E+02  1.720E+02  1.318  0.000  0.397  0.000  0.000 -1.000  37.942
  12   1.  1.11E+02  1.720E+02  1.318  0.000  0.397  0.000  0.000 -1.000  37.942
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.11E+02  1.863E+02
   1  -1.  1.15E+02  1.755E+02  1.313  0.000  0.346  0.000  0.000 -1.000  37.355
   2  -1.  1.19E+02  1.678E+02  1.311  0.000  0.222  0.000  0.000 -1.000  36.580
   3  -1.  1.23E+02  1.614E+02  1.315  0.000  0.111  0.000  0.000 -1.000  35.905
   4  -1.  1.24E+02  1.599E+02  1.318  0.000  0.056  0.000  0.000 -1.000  35.212
   5   0.  1.25E+02  1.583E+02  1.314  0.000  0.028  0.000  0.000 -1.000  35.289
   6   0.  1.26E+02  1.574E+02  1.310  0.000  0.014  0.000  0.000 -1.000  35.309
   7  -1.  1.29E+02  1.540E+02  1.297  0.000  0.007  0.000  0.000 -1.000  34.776
   8  -2.  1.37E+02  1.456E+02  1.297  0.000  0.010  0.000  0.000 -1.000  31.144
   9  -3.  1.45E+02  1.395E+02  1.278  0.000  0.005  0.000  0.000 -1.000  26.903
  10  -4.  1.45E+02  1.369E+02  1.254  0.000  0.003  0.000  0.000 -1.000  22.572
  11  -5.  1.50E+02  1.342E+02  1.233  0.000  0.004  0.000  0.000 -1.000  20.553
  12  -5.  1.50E+02  1.341E+02  1.258  0.000  0.002  0.000  0.000 -1.000  18.210
  13  -6.  1.50E+02  1.339E+02  1.237  0.000  0.003  0.000  0.000 -1.000  18.811
  14  -2.  1.50E+02  1.337E+02  1.247  0.000  0.004  0.000  0.000 -1.000  18.453
  15  -3.  1.50E+02  1.336E+02  1.244  0.000  0.004  0.000  0.000 -1.000  18.138
  16  -4.  1.50E+02  1.335E+02  1.253  0.000  0.003  0.000  0.000 -1.000  16.808
  17  -5.  1.50E+02  1.334E+02  1.252  0.000  0.001  0.000  0.000 -1.000  15.787
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.49E+02  1.303E+02
  18  -3.  1.49E+02  1.334E+02  1.263  0.000  0.001  0.000  0.000 -1.000  14.118
   1  -3.  1.49E+02  1.352E+02  1.264  0.000  0.001  0.000  0.000 -1.000  14.297
   2   0.  1.52E+02  1.304E+02  1.257  0.000  0.001  0.000  0.000 -1.000  14.465
   3  -1.  1.53E+02  1.214E+02  1.230  0.000  0.001  0.000  0.000 -1.000  14.657
   4  -2.  1.55E+02  1.204E+02  1.235  0.000  0.002  0.000  0.000 -1.000  13.405
   5  -3.  1.55E+02  1.155E+02  1.253  0.000  0.001  0.000  0.000 -1.000  13.393
   6  -4.  1.56E+02  1.179E+02  1.250  0.000  0.001  0.000  0.000 -1.000  13.949
   7  -5.  1.57E+02  1.135E+02  1.250  0.000  0.000  0.000  0.000 -1.000  14.476
   8  -5.  1.57E+02  1.135E+02  1.250  0.000  0.000  0.000  0.000 -1.000  14.256
   9  -6.  1.57E+02  1.135E+02  1.249  0.000  0.000  0.000  0.000 -1.000  14.354
  10  -6.  1.57E+02  1.135E+02  1.250  0.000  0.000  0.000  0.000 -1.000  14.309
  11  -1.  1.57E+02  1.135E+02  1.249  0.000  0.000  0.000  0.000 -1.000  14.313
  12  -0.  1.57E+02  1.135E+02  1.249  0.000  0.000  0.000  0.000 -1.000  14.314
